Soil Moisture,Temperature,Location,Previous Yield,Weather,Season,Previous Harvested Crop
59,34,Madhya Pradesh,42,Rainy,Summer,Wheat
43,35,Meghalaya,68,Rainy,Spring,Apple
70,16,Maharashtra,40,Sunny,Winter,Grapes
71,12,Tamil Nadu,57,Rainy,Winter,Tea
47,27,Maharashtra,47,Rainy,Monsoon,Sugarcane
63,23,Manipur,66,Stormy,Winter,Pineapple
80,14,Meghalaya,62,Stormy,Winter,Apple
,20,Tripura,38,Rainy,Autumn,Pulses
76,32,Maharashtra,33,Sunny,Summer,Cotton
74,31,Kerala,,Rainy,Monsoon,Coconut
73,39,Karnataka,33,Sunny,Spring,Jowar
65,29,Assam,31,Sunny,Autumn,Rice
40,33,Uttar Pradesh,54,Rainy,Summer,Sugarcane
73,25,West Bengal,65,Stormy,Autumn,Mustard
64,21,Manipur,65,Sunny,Winter,Pulses
45,27,Madhya Pradesh,62,Cloudy,Monsoon,Wheat
,30,Mizoram,69,Stormy,Monsoon,Pulses
57,29,Sikkim,,Rainy,Summer,Barley
50,42,Nagaland,31,Sunny,Spring,Oilseeds
72,24,Tripura,33,Rainy,Autumn,Pulses
41,34,Telangana,66,Cloudy,Summer,Mango
54,19,Rajasthan,67,Sunny,Winter,Turmeric
41,28,Nagaland,51,Cloudy,Monsoon,Rice
41,36,Sikkim,42,Cloudy,Spring,Ginger
70,28,Telangana,69,Cloudy,Spring,Paddy
43,24,Bihar,33,Cloudy,Winter,Wheat
,29,Andhra Pradesh,57,Sunny,Autumn,Paddy
76,31,Bihar,32,Rainy,Summer,Wheat
,31,Tripura,48,Cloudy,Monsoon,Rubber
,23,Kerala,51,Rainy,Autumn,Tea
,25,Chhattisgarh,66,Rainy,Monsoon,Turmeric
,40,Nagaland,41,Rainy,Spring,Ginger
46,28,West Bengal,30,Rainy,Spring,Maize
,28,Rajasthan,37,Sunny,Autumn,Turmeric
79,31,Gujarat,60,Cloudy,Monsoon,Groundnut
69,27,Uttar Pradesh,35,Stormy,Summer,Sugarcane
51,40,Manipur,33,Stormy,Spring,Pulses
,27,Uttar Pradesh,57,Sunny,Autumn,Maize
79,26,Jharkhand,31,Rainy,Autumn,Rice
,23,Tamil Nadu,52,Cloudy,Winter,Groundnut
,18,Jharkhand,30,Sunny,Winter,Pulses
52,35,Nagaland,,Sunny,Summer,Rice
50,34,Punjab,55,Sunny,Spring,Wheat
64,29,Madhya Pradesh,32,Stormy,Monsoon,Wheat
43,34,Karnataka,42,Rainy,Spring,Sugarcane
52,34,Gujarat,36,Cloudy,Summer,Groundnut
42,32,Nagaland,37,Cloudy,Monsoon,Oilseeds
55,22,Odisha,,Sunny,Autumn,Rice
56,30,West Bengal,49,Cloudy,Summer,Rice
,22,Gujarat,31,Rainy,Autumn,Tobacco
